2021-01-24 18:04:28 [main] INFO  by.metelski.learn.entity.CustomArray- set element 0 index: 7
2021-01-24 18:04:28 [main] INFO  by.metelski.learn.entity.CustomArray- get array
2021-01-24 18:04:28 [main] INFO  by.metelski.learn.entity.CustomArray- get element 15 index: 8
2021-01-24 18:04:28 [main] INFO  by.metelski.learn.entity.CustomArray- get array
2021-01-24 18:04:28 [main] INFO  by.metelski.learn.entity.CustomArray- get element -1 index: 9
2021-01-24 18:04:28 [main] INFO  by.metelski.learn.entity.CustomArray- set element 0 index: 9
2021-01-24 18:04:28 [main] INFO  by.metelski.learn.entity.CustomArray- get array
2021-01-24 18:04:28 [main] INFO  by.metelski.learn.entity.CustomArray- get element 0 index: 10
2021-01-24 18:04:28 [main] INFO  by.metelski.learn.entity.CustomArray- get array
2021-01-24 18:04:28 [main] INFO  by.metelski.learn.action.ArrayAction- all negative elements replaced for number: 0
2021-01-24 18:04:28 [main] INFO  by.metelski.learn.entity.CustomArray- get array
2021-01-24 18:04:28 [main] INFO  by.metelski.learn.entity.CustomArray- set array
2021-01-24 18:04:28 [main] INFO  by.metelski.learn.entity.CustomArray- get array
2021-01-24 18:04:28 [main] INFO  by.metelski.learn.action.ArrayAction- replaceAllNumbersAboveNull, number to replace: 5
2021-01-24 18:04:28 [main] INFO  by.metelski.learn.entity.CustomArray- get array
2021-01-24 18:04:28 [main] INFO  by.metelski.learn.entity.CustomArray- get element 1 index: 0
2021-01-24 18:04:28 [main] INFO  by.metelski.learn.entity.CustomArray- get array
2021-01-24 18:04:28 [main] INFO  by.metelski.learn.entity.CustomArray- get element -5 index: 1
2021-01-24 18:04:28 [main] INFO  by.metelski.learn.entity.CustomArray- get array
2021-01-24 18:04:28 [main] INFO  by.metelski.learn.entity.CustomArray- get element 12 index: 2
2021-01-24 18:04:28 [main] INFO  by.metelski.learn.entity.CustomArray- set element 5 index: 2
2021-01-24 18:04:28 [main] INFO  by.metelski.learn.entity.CustomArray- get array
2021-01-24 18:04:28 [main] INFO  by.metelski.learn.entity.CustomArray- get element 9 index: 3
2021-01-24 18:04:28 [main] INFO  by.metelski.learn.entity.CustomArray- get array
2021-01-24 18:04:28 [main] INFO  by.metelski.learn.entity.CustomArray- get element -8 index: 4
2021-01-24 18:04:28 [main] INFO  by.metelski.learn.entity.CustomArray- get array
2021-01-24 18:04:28 [main] INFO  by.metelski.learn.entity.CustomArray- get element 6 index: 5
2021-01-24 18:04:28 [main] INFO  by.metelski.learn.entity.CustomArray- get array
2021-01-24 18:04:28 [main] INFO  by.metelski.learn.entity.CustomArray- get element 4 index: 6
